Id;Text;Size
880;admit;2
881;themselves;2
882;chaste;2
883;base;2
884;secret;2
885;slave;2
886;sting;2
887;sends;2
888;stir;2
889;prepared;2
890;clouds;2
891;grave;2
892;assistant;2
893;year;2
894;desperate;2
895;music;2
896;silence;2
897;orchard;2
898;aboard;2
899;beware;2
900;least;2
901;eager;2
902;serpent;2
903;lines;2
904;vow;2
905;brave;2
906;judge;2
907;rights;2
908;new;2
909;shalt;2
910;slow;2
911;alternatively;2
912;countenance;2
913;presently;2
914;remains;2
915;sovereign;2
916;seeming;2
917;servants;2
918;ignorance;2
919;trumpet;2
920;perfume;2
921;ascii;2
922;green;2
923;complexion;2
924;catch;2
925;double;2
926;ladies;2
927;liege;2
928;direct;2
929;comical;2
930;borne;2
931;nearer;2
932;indifferent;2
933;solemn;2
934;weigh;2
935;along;2
936;breach;2
937;extent;2
938;fit;2
939;fix;2
940;ah;2
941;former;2
942;prove;2
943;foot;2
944;breathe;2
945;actor;2
946;fly;2
947;thunder;2
948;observe;2
949;armour;2
950;needs;2
951;frame;2
952;limbs;2
953;perhaps;2
954;kept;2
955;four;2
956;burns;2
957;gave;2
958;sending;2
959;remembrance;2
960;knew;2
961;lo;2
962;prodigal;2
963;edge;2
964;license;2
965;seal;2
966;heraldry;2
967;cousin;2
968;whilst;2
969;heed;2
970;joint;2
971;entreaty;2
972;valiant;2
973;region;2
974;cold;2
975;pure;2
976;willingly;2
977;wi;2
978;wide;2
979;software;2
980;held;2
981;beyond;2
982;terms;2
983;proof;2
984;presence;2
985;method;2
986;force;2
987;north;2
988;confess;2
989;dare;2
990;contrive;2
991;puts;2
992;self;2
993;date;2
994;creatures;2
995;cost;2
996;wilt;2
997;assay;2
998;dignity;2
999;tragical;2
1000;audience;2
1001;masters;2
1002;faculties;2
1003;yours;2
1004;sworn;2
1005;claudius;2
1006;medium;2
1007;methinks;2
1008;wisdom;2
1009;secrecy;2
1010;twill;2
1011;loving;2
1012;bulk;2
1013;violence;2
1014;mirth;2
1015;judgment;2
1016;liability;2
1017;pleasures;2
1018;vulgar;2
1019;intended;2
1020;land;2
1021;working;2
1022;chief;2
1023;followed;2
1024;meeting;2
1025;volt;2
1026;trillion;2
1027;implied;2
1028;secure;2
1029;waxes;2
1030;crimes;2
1031;yea;2
1032;wonted;2
1033;buzz;2
